"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS107_1A,N,2,0","PS107_1M,N,2,0","PS107_1S,N,1,0","PS6,N,1,0"
2019,      034404401,4,344,44,1,1,0,2,1
2019,      035304201,3,353,42,1,0,1,2,1
2019,      035512701,4,355,127,1,0,6,2,1
2019,      036600701,6,366,7,1,0,9,2,1
2019,      037103501,4,371,35,1,0,2,2,1
2019,      037105301,3,371,53,1,0,7,2,1
2019,      037204201,8,372,42,1,0,1,2,1
2019,      037507101,3,375,71,1,1,0,2,1
2019,      037602301,3,376,23,1,1,2,2,1
2019,      039408101,6,394,81,1,0,4,2,1
2019,      043204701,3,432,47,1,0,6,2,1
2019,      043909201,3,439,92,1,0,5,2,1
2019,      044504901,4,445,49,1,0,1,2,1
2019,      045402601,5,454,26,1,0,2,2,1
2019,      045408301,3,454,83,1,0,11,2,1
2019,      045707701,4,457,77,1,1,9,1,1
2019,      045707701,5,457,77,1,1,9,2,2
2019,      046100501,4,461,5,1,0,2,2,1
2019,      046305601,5,463,56,1,0,8,2,1
2019,      046801301,6,468,13,1,1,6,2,1
2019,      047404701,2,474,47,1,1,8,2,1
2019,      047406801,3,474,68,1,2,0,2,1
2019,      047618101,5,476,181,1,1,7,2,1
2019,      047801901,4,478,19,1,0,2,2,1
2019,      047805501,4,478,55,1,1,0,2,1
2019,      047902101,4,479,21,1,1,6,2,1
2019,      047904401,4,479,44,1,0,4,2,1
2019,      048003101,6,480,31,1,1,9,2,1
2019,      048006001,4,480,60,1,0,4,2,1
2019,      048006401,5,480,64,1,1,4,2,1
2019,      048011701,3,480,117,1,0,3,2,1
2019,      048301701,6,483,17,1,0,1,1,1
2019,      048301701,8,483,17,1,1,1,2,2
2019,      048501701,5,485,17,1,0,4,2,1
2019,      048501901,5,485,19,1,1,3,2,1
2019,      049000701,4,490,7,1,2,0,2,1
2019,      049000801,4,490,8,1,0,7,2,1
2019,      049002701,4,490,27,1,0,6,2,1
2019,      049004801,6,490,48,1,0,2,2,1
2019,      049008201,6,490,82,1,0,8,2,1
2019,      049008801,3,490,88,1,1,0,2,1
2019,      049100301,5,491,3,1,1,6,2,1
2019,      049101701,6,491,17,1,0,1,2,1
2019,      049103901,3,491,39,1,1,3,2,1
2019,      049104501,6,491,45,1,0,8,2,1
2019,      049106301,4,491,63,1,0,2,2,1
2019,      049302001,4,493,20,1,1,9,2,1
