"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS104_1A,N,2,0","PS104_1M,N,2,0","PS104_1S,N,1,0","PS5,N,1,0"
2019,      049702201,2,497,22,1,4,0,2,1
2019,      049702801,2,497,28,1,12,4,1,1
2019,      049702801,4,497,28,1,8,4,2,2
2019,      049703801,2,497,38,1,12,4,2,1
2019,      049704001,1,497,40,1,3,4,2,1
2019,      049803201,1,498,32,1,15,0,2,1
2019,      049901601,2,499,16,1,4,0,2,1
2019,      049902201,1,499,22,1,10,0,1,1
2019,      049902201,2,499,22,1,10,0,1,2
2019,      049902201,3,499,22,1,10,0,2,3
2019,      049902301,3,499,23,1,5,0,2,1
2019,      049902401,1,499,24,1,11,0,1,1
2019,      049902401,2,499,24,1,11,0,2,2
2019,      050006501,2,500,65,1,19,0,2,1
2019,      050102601,1,501,26,1,2,0,2,1
2019,      050102701,2,501,27,1,5,4,2,1
2019,      050104101,1,501,41,1,1,4,2,1
2019,      050104201,2,501,42,1,10,0,2,1
2019,      050104401,2,501,44,1,4,4,2,1
2019,      050108001,2,501,80,1,10,0,2,1
2019,      050108301,2,501,83,1,18,0,2,1
2019,      050202501,1,502,25,1,3,0,2,1
2019,      050202601,1,502,26,1,15,5,2,1
2019,      050202701,2,502,27,1,8,0,2,1
2019,      050202801,1,502,28,1,15,5,2,1
2019,      050202901,2,502,29,1,10,0,2,1
2019,      050203001,1,502,30,1,10,5,2,1
2019,      050203101,2,502,31,1,15,0,2,1
2019,      050203201,1,502,32,1,19,5,2,1
2019,      050203301,1,502,33,1,3,0,2,1
2019,      050203401,2,502,34,1,19,5,2,1
2019,      050203501,1,502,35,1,1,0,2,1
2019,      050203601,2,502,36,1,19,0,2,1
2019,      050203801,1,502,38,1,15,5,2,1
2019,      050203901,2,502,39,1,5,0,2,1
2019,      050300201,1,503,2,1,2,8,2,1
2019,      050306201,2,503,62,1,10,0,2,1
2019,      050602501,2,506,25,1,0,6,2,1
2019,      050602701,1,506,27,1,6,5,2,1
2019,      050602801,1,506,28,1,6,0,2,1
2019,      050602901,2,506,29,1,3,5,2,1
2019,      050603001,1,506,30,1,10,0,2,1
2019,      050603801,1,506,38,1,10,5,1,1
2019,      050603801,2,506,38,1,10,5,2,2
2019,      050604201,1,506,42,1,6,5,1,1
2019,      050604201,2,506,42,1,6,5,2,2
2019,      050605001,2,506,50,1,2,6,2,1
2019,      050701001,2,507,10,1,13,0,2,1
2019,      050704301,2,507,43,1,10,3,2,1
2019,      050706901,2,507,69,1,2,0,2,1
2019,      051001201,1,510,12,1,2,2,1,1
2019,      051001201,2,510,12,1,2,2,1,2
2019,      051001201,3,510,12,1,2,2,1,3
2019,      051001201,4,510,12,1,2,2,1,4
2019,      051001201,5,510,12,1,2,2,1,5
2019,      051001201,6,510,12,1,2,2,2,6
2019,      051001501,2,510,15,1,1,1,2,1
2019,      051003501,2,510,35,1,0,8,2,1
2019,      051006901,1,510,69,1,2,0,2,1
2019,      051007101,2,510,71,1,2,0,2,1
2019,      051007201,2,510,72,1,3,0,2,1
2019,      051100801,2,511,8,1,4,0,2,1
2019,      051101301,1,511,13,1,4,98,2,1
2019,      051203201,2,512,32,1,0,3,2,1
2019,      051301001,2,513,10,1,3,1,2,1
2019,      051305601,1,513,56,1,4,0,2,1
2019,      051307001,1,513,70,1,3,0,2,1
2019,      051309101,2,513,91,1,14,11,2,1
2019,      051409501,5,514,95,1,0,1,2,1
2019,      051802601,1,518,26,1,2,4,1,1
2019,      051802601,2,518,26,1,6,4,2,2
2019,      051804501,2,518,45,1,6,0,2,1
2019,      051807401,1,518,74,1,7,4,1,1
2019,      051807401,2,518,74,1,7,4,1,2
2019,      051807401,3,518,74,1,2,4,2,3
